ID do pacote,N.º Rota,Parada,Ponto,Data de Inbound,Altura,Largura,Comprimento,Localização do pacote,Detalhe do pacote
46496610817,Y4_AM100,229,A,,35,30,53,Caminho para a estação,
46500933868,Y4_AM100,229,A,,16,22,43,Caminho para a estação,
46507176268,Y4_AM100,230,A,,12,9,30,Caminho para a estação,
46499528465,Y4_AM100,231,A,,7,2,32,Caminho para a estação,
46500149064,Y4_AM100,231,A,,12,3,12,Caminho para a estação,
46503036458,Y4_AM100,232,A,,21,5,22,Caminho para a estação,
46510583705,Y4_AM100,232,A,,15,4,17,Caminho para a estação,
46509034494,Y4_AM100,235,A,,11,4,15,Caminho para a estação,
46503897079,Y4_AM100,236,A,,20,9,20,Caminho para a estação,
46508260954,Y4_AM100,236,A,,5,5,25,Caminho para a estação,
46510830627,Y4_AM100,236,A,,31,6,40,Caminho para a estação,
46510881610,Y4_AM100,236,A,,17,4,17,Caminho para a estação,
46512200176,Y4_AM100,236,A,,5,5,25,Caminho para a estação,
46511876467,Y4_AM100,238,A,,12,6,17,Caminho para a estação,
46508008505,Y4_AM100,239,A,,12,3,17,Caminho para a estação,
46501723904,Y4_AM100,242,A,,31,8,40,Caminho para a estação,
46503760761,Y4_AM100,242,A,,16,5,19,Caminho para a estação,
46504937533,Y4_AM100,242,A,,17,6,19,Caminho para a estação,
46508020763,Y4_AM100,242,A,,21,4,21,Caminho para a estação,
46509851775,Y4_AM100,242,A,,8,6,9,Caminho para a estação,
46499288507,Y4_AM100,243,A,,28,6,35,Caminho para a estação,
46507962341,Y4_AM100,244,A,,14,6,16,Caminho para a estação,
46508235042,Y4_AM100,244,A,,27,5,31,Caminho para a estação,
46512257100,Y4_AM100,244,A,,19,11,22,Caminho para a estação,
46506131565,Y4_AM100,246,A,,17,14,18,Caminho para a estação,
46509178521,Y4_AM100,247,A,,15,6,18,Caminho para a estação,
46510497290,Y4_AM100,247,A,,14,5,17,Caminho para a estação,
46511093487,Y4_AM100,247,A,,20,11,35,Caminho para a estação,
46499725457,Y4_AM100,248,A,,18,5,20,Caminho para a estação,
46510737207,Y4_AM100,249,A,,22,19,33,Caminho para a estação,
46466954808,Y4_AM100,250,A,,19,16,21,Caminho para a estação,
46497150777,Y4_AM100,251,A,,18,12,28,Caminho para a estação,
46508082375,Y4_AM100,252,A,,28,3,33,Caminho para a estação,
46507734588,Y4_AM100,253,A,,29,7,35,Caminho para a estação,
46507920197,Y4_AM100,253,A,,28,3,30,Caminho para a estação,
46510342951,Y4_AM100,253,A,,28,3,30,Caminho para a estação,
